Original_Content,Preprocessed_Content
"Saya driver ojol, saya sering dapat orderan gosend dari halodoc, setiap saya sampai di toko barang tidak ada,. Opsinya langsung di cencel,. Kita sebagai driver dirugikan karena udah jaln jauh, kita tidak dapat apa2,. SehqRuSNYA platfom bisa kasih opsi lain kecuali di cencel orderan misal pesenan bisa di edit lalu cari prodak serupa. Udah orderan pendingnaya lama kasih orderan",saya driver ojol  saya sering dapat orderan gosend dari halodoc  setiap saya sampai di toko barang tidak ada   opsinya langsung di cencel   kita sebagai driver dirugikan karena udah jaln jauh  kita tidak dapat apa    sehqrusnya platfom bisa kasih opsi lain kecuali di cencel orderan misal pesenan bisa di edit lalu cari prodak serupa  udah orderan pendingnaya lama kasih orderan
Saya sudah tidak menggunakan apk ini lagi tapi barusan sya mendapat telpon dari hallo dok bahwa saya mendapat asuransi sebesar 2 jt. Jika saya terkena dbd sya bisa klaim vocher asuransi tersebut. Dalam jangka waktu 1 tahun. Bapa tersebut menanyakan rekening apa yang sya gunakan lalu sya jwb sya tidak pakai rekening apapun. Langsung di matikan. Tolong untuk di perketat lagi keamannya.,saya sudah tidak menggunakan apk ini lagi tapi barusan sya mendapat telpon dari hallo dok bahwa saya mendapat asuransi sebesar   jt  jika saya terkena dbd sya bisa klaim vocher asuransi tersebut  dalam jangka waktu   tahun  bapa tersebut menanyakan rekening apa yang sya gunakan lalu sya jwb sya tidak pakai rekening apapun  langsung di matikan  tolong untuk di perketat lagi keamannya 
"Sial Sudah 2x saya ketemu dgn dokter yg sangat menyebalkan. Saya bayar, bukan Konsul gratisan. Tp dgn seenaknya mengakhiri sesi chat padahal belum memberi penjelasan apa2! Padahal chat lama karna loading chat error' terus. Itu karna koneksi jaringan halodoc sendiri ga stabil! Bye! Uninstal lebih baik.",sial sudah  x saya ketemu dgn dokter yg sangat menyebalkan  saya bayar  bukan konsul gratisan  tp dgn seenaknya mengakhiri sesi chat padahal belum memberi penjelasan apa   padahal chat lama karna loading chat error' terus  itu karna koneksi jaringan halodoc sendiri ga stabil  bye  uninstal lebih baik 
"Saya putuskan untuk uninstall Halodoc karena kecewa dengan pelayanan yang tidak profesional. Saya pesan untuk rapid test di klinik, tapi klinik tutup. Anehnya di keterangan saya dianggap tidak datang dan otomatis uang saya tidak kembali. Salam",saya putuskan untuk uninstall halodoc karena kecewa dengan pelayanan yang tidak profesional  saya pesan untuk rapid test di klinik  tapi klinik tutup  anehnya di keterangan saya dianggap tidak datang dan otomatis uang saya tidak kembali  salam
"Tanggapan nya Lambat . Saya sudah mengetik keluhan tp di sokternya chat saya tidak masuk, saya pakai panggilan suara tidak ada suaranya perbaiki dong. Kan pemakaian nya berbayar bukan gratis",tanggapan nya lambat   saya sudah mengetik keluhan tp di sokternya chat saya tidak masuk  saya pakai panggilan suara tidak ada suaranya perbaiki dong  kan pemakaian nya berbayar bukan gratis
"Aplikasi ini masih blm membantu, seperti nya team IT blm bisa menyelesaikan kendala dengan aplikasi, sy sudah chating dengan DR, sampai masa utk transaksi obat tiba 2 aplikasi crash, sudah sy hub team hallodoc juga tp sampai saat ini blm ada langkah yg baik..",aplikasi ini masih blm membantu  seperti nya team it blm bisa menyelesaikan kendala dengan aplikasi  sy sudah chating dengan dr  sampai masa utk transaksi obat tiba   aplikasi crash  sudah sy hub team hallodoc juga tp sampai saat ini blm ada langkah yg baik  
"Baru download dan nyoba,ke spesialis mata, udah ngikutin pembayaran via gopay dan saldo kepotong, begitu connect sm dokternya ga bisa dong..error loading message terus, chat k cs tulisannya d respon 2 jam, masa nunggu balesan selama itu ga ad cs yg standby, ga bs dipake darurat aplikasi ini, dan ga tau krn error loading message itu bisa balikin saldo gw yg udh kepotong lg apa ngga, 30rb doang emang kl d kali berapa org dlm sehari yg error gt mo chat dokternya,menang bnyk app ni.",baru download dan nyoba ke spesialis mata  udah ngikutin pembayaran via gopay dan saldo kepotong  begitu connect sm dokternya ga bisa dong  error loading message terus  chat k cs tulisannya d respon   jam  masa nunggu balesan selama itu ga ad cs yg standby  ga bs dipake darurat aplikasi ini  dan ga tau krn error loading message itu bisa balikin saldo gw yg udh kepotong lg apa ngga   rb doang emang kl d kali berapa org dlm sehari yg error gt mo chat dokternya menang bnyk app ni 
"terakhir isi ulang 16 oktober 2021 waktu itu belum ada tarik saldo. Sekarang udah ada fitur tarik saldo, tapi ga ad fitur isi saldo gimana ini, saya mau konsultasi jadi ga bisa gara2 ga ada fitur isi saldo halodoc, aneh banget TOLONG SEGERA DIPERBAIKI!!. Di halodoc saya cuma ad fitur tarik saldo ga ada/gabisa isi saldo",terakhir isi ulang   oktober   waktu itu belum ada tarik saldo  sekarang udah ada fitur tarik saldo  tapi ga ad fitur isi saldo gimana ini  saya mau konsultasi jadi ga bisa gara  ga ada fitur isi saldo halodoc  aneh banget tolong segera diperbaiki    di halodoc saya cuma ad fitur tarik saldo ga ada gabisa isi saldo
"Sangat Kecewa dengan aplikasi ini, saya membuat pesanan obat dan di ACC setelah beberapa saat, tapi karena jarak apotik dengan tempat tinggal saya terlalu jauh maka saya putuskan untuk cancel, dikarenakan alasan saya kasihan dengan driver, setelah pesanan tercancel ternyata dana gopay saya terpotong dengan nominal yg lumayan besar dan tidak di refund kembali, tolong berhati hati saat menggunakan aplikasi ini, waspada, jangan sampai anda mengalami hal mengecewakan seperti yg saya alami sendiri.",sangat kecewa dengan aplikasi ini  saya membuat pesanan obat dan di acc setelah beberapa saat  tapi karena jarak apotik dengan tempat tinggal saya terlalu jauh maka saya putuskan untuk cancel  dikarenakan alasan saya kasihan dengan driver  setelah pesanan tercancel ternyata dana gopay saya terpotong dengan nominal yg lumayan besar dan tidak di refund kembali  tolong berhati hati saat menggunakan aplikasi ini  waspada  jangan sampai anda mengalami hal mengecewakan seperti yg saya alami sendiri 
Kok jadi ragu. Ini aplikasi dokter pertama seinget saya yang sering di iklankan. Tp masa aplikasi pelayanan kesehatan banyak melakukan tindakan penipuan dengan modus yang beragam. Nanti saya review kembali jika memang cs dan proses pengirim plus pembayaran sudah membaik.,kok jadi ragu  ini aplikasi dokter pertama seinget saya yang sering di iklankan  tp masa aplikasi pelayanan kesehatan banyak melakukan tindakan penipuan dengan modus yang beragam  nanti saya review kembali jika memang cs dan proses pengirim plus pembayaran sudah membaik 
Pesan obatnya super lama pelayanan obat kurang memadai dan kurang cepat. Pilihan pengiriman tidak bnyak terpaksa pilih pengiriman reguler yg super lama. Bagi yg segera btuh obat dan pengiriman butuh ekspedisi pemesanan obat tidak dianjurkan,pesan obatnya super lama pelayanan obat kurang memadai dan kurang cepat  pilihan pengiriman tidak bnyak terpaksa pilih pengiriman reguler yg super lama  bagi yg segera btuh obat dan pengiriman butuh ekspedisi pemesanan obat tidak dianjurkan
"Sedih. Dulu pembayaran nya mudah sekali bisa pilih bayar dgn pulsa. Skrg cuma bsa lewat gopay dan kartu, dll. Knp gk dipermudah aja kyk dulu bsa bayar dgn pulsa?",sedih  dulu pembayaran nya mudah sekali bisa pilih bayar dgn pulsa  skrg cuma bsa lewat gopay dan kartu  dll  knp gk dipermudah aja kyk dulu bsa bayar dgn pulsa 
Pembodohan 😂 Udah bayar. Nyambung ke dokternya laama. Belum juga nyambung. Cuma di kembali ke menu tiba² aja percakapan berakhir. Hilang sudah uang 85rb dg sia2. Aplikasi ga jelas. Msh jelas aplikasi sblh. Murah jelas. Di keluarin dr aplikasi jg msh dlm sesi percakapan kalo kita belum mengakhiri percakapan. Plus jangan pake. Unfaedah!!,pembodohan 😂 udah bayar  nyambung ke dokternya laama  belum juga nyambung  cuma di kembali ke menu tiba² aja percakapan berakhir  hilang sudah uang  rb dg sia   aplikasi ga jelas  msh jelas aplikasi sblh  murah jelas  di keluarin dr aplikasi jg msh dlm sesi percakapan kalo kita belum mengakhiri percakapan  plus jangan pake  unfaedah  
"Kalau dokternya tidak standby tolong jangan ditampilkan, saya kira kalau dibatalkan oleh system bakal ke refund otomatis ternyata tidak dan juga harusnya ada rate buat dokter yg suka batal itu biar bisa langsung di rate 1, masa tidak sekali dua kali selalu dibatalkan oleh sistem giliran inget kalau belum di refund ternyata gabisa di refund kalo sudah lwt dari 7 hari, ga semua orang selalu mantau saldo nya sudah ke refund atau belum",kalau dokternya tidak standby tolong jangan ditampilkan  saya kira kalau dibatalkan oleh system bakal ke refund otomatis ternyata tidak dan juga harusnya ada rate buat dokter yg suka batal itu biar bisa langsung di rate    masa tidak sekali dua kali selalu dibatalkan oleh sistem giliran inget kalau belum di refund ternyata gabisa di refund kalo sudah lwt dari   hari  ga semua orang selalu mantau saldo nya sudah ke refund atau belum
Sengaja daftar vaksin di halodok biar cepet. Dibilang datang 30 menit lebih awal Pas sampe puskemas kebayoran lama tetep harus antri. Nunggu 2 jam ngaret bener. Emangnya pihak halodok sama puskesnya gak kordinasi lagi. Terus ngapain daftar di app halodok kalo ujungnya ujungnya harus antri juga sama yg gak daftar di aplikasi.,sengaja daftar vaksin di halodok biar cepet  dibilang datang   menit lebih awal pas sampe puskemas kebayoran lama tetep harus antri  nunggu   jam ngaret bener  emangnya pihak halodok sama puskesnya gak kordinasi lagi  terus ngapain daftar di app halodok kalo ujungnya ujungnya harus antri juga sama yg gak daftar di aplikasi 
Kurang lengkap metode pembayarannya gk bisa langsung transfer dan gak bisa lewat dana. Yg ingin menggunakan aplikasi ini itu harus orng2 yg smart pakai handphone dan teknologi buat orng awam menurutku kurang sekali. Kalau lngsung tf kan enak keluar langsung kode pembayarannya atau langsng terhubung ke dana jd langsung bayar. Kalo gini ribet mau pake gojek2 hadehhhhhhhh,kurang lengkap metode pembayarannya gk bisa langsung transfer dan gak bisa lewat dana  yg ingin menggunakan aplikasi ini itu harus orng  yg smart pakai handphone dan teknologi buat orng awam menurutku kurang sekali  kalau lngsung tf kan enak keluar langsung kode pembayarannya atau langsng terhubung ke dana jd langsung bayar  kalo gini ribet mau pake gojek  hadehhhhhhhh
"Harganya berubah saat update keranjang belanja. Harganya juga mahal. Biaya layanan juga. Pilihan pembayaran pun tdk bisa tunai. Harga setelah order juga bisa berubah dgn alasan harganya tdk update di aplikasi. Orang sakit bukannya dibantu, tapi malah dimanfaatkan dgn harga yg Lbh mahal dibanding harga normal di apotik. Kalo sy sih tdk rekomendasi.",harganya berubah saat update keranjang belanja  harganya juga mahal  biaya layanan juga  pilihan pembayaran pun tdk bisa tunai  harga setelah order juga bisa berubah dgn alasan harganya tdk update di aplikasi  orang sakit bukannya dibantu  tapi malah dimanfaatkan dgn harga yg lbh mahal dibanding harga normal di apotik  kalo sy sih tdk rekomendasi 
"Super error dan aplikasi sakit. Saya pikir internal halodoc juga perlu diobati. Dua kali saya chat dengan dokter tapi tidak bisa saya respon, karena tidak ada interface untuk balas pesan dokter, saya yang terkesan gaptek dan sudah terpotong biaya konsultasi. Tidak recommended",super error dan aplikasi sakit  saya pikir internal halodoc juga perlu diobati  dua kali saya chat dengan dokter tapi tidak bisa saya respon  karena tidak ada interface untuk balas pesan dokter  saya yang terkesan gaptek dan sudah terpotong biaya konsultasi  tidak recommended
"Jadwal udah brpa x berubah. .dan belum juga tau kapan untuk vaksin kedua udah lebih dari 28 hari harusnya jadwalnya tanggal 16 Juli dan sekarang udah tanggl 4 Agustus tp belum juga masih jadwal diubah diaplikasi,terus sampai kapan tu jadwal biar kelar,,kirain stlh menginstal aplikasi ini meprmdah,, malah jadi rumit,,tdk diterima vaksin kedua kemana mana,,karna alasan merka dimana vaksin pertama hrs ketmpt itu lagi ambil dosis kedua,,sbnarnya fungsi aplikasi ini apa? Mempermudah atau mmprsulit???",jadwal udah brpa x berubah   dan belum juga tau kapan untuk vaksin kedua udah lebih dari   hari harusnya jadwalnya tanggal   juli dan sekarang udah tanggl   agustus tp belum juga masih jadwal diubah diaplikasi terus sampai kapan tu jadwal biar kelar  kirain stlh menginstal aplikasi ini meprmdah   malah jadi rumit  tdk diterima vaksin kedua kemana mana  karna alasan merka dimana vaksin pertama hrs ketmpt itu lagi ambil dosis kedua  sbnarnya fungsi aplikasi ini apa  mempermudah atau mmprsulit   
"Sumpah uang ku terpotong 30rb.. padahal rusak di aplikasinya, belum bisa konsultasi.. sampe aku restart hp.. uninstall apk nya juga udh.. log out juga udh , tetap g bisa konsultasi dan udah di bayar.. trs tbtb konsultasi berakhir.. uang g kembali.. padahal rusak di apk nya.. APK NGEKORUP KALI YA!!!! JIJIK!!!!!",sumpah uang ku terpotong  rb   padahal rusak di aplikasinya  belum bisa konsultasi   sampe aku restart hp   uninstall apk nya juga udh   log out juga udh   tetap g bisa konsultasi dan udah di bayar   trs tbtb konsultasi berakhir   uang g kembali   padahal rusak di apk nya   apk ngekorup kali ya     jijik     
"Sangat mengecewakan, Pesan obat lewat aplikasi halodoc, obat belum/tidak terkirim, pembayaran sdh terkonfirmasi berhasil, totalnyatidak seberapa, tapi sangat dibutuhkan, tidak bisa cek pesanan, karena telepon driver tidak dapat dihubungi, email error,harap segera ditindaklanjuti...!",sangat mengecewakan  pesan obat lewat aplikasi halodoc  obat belum tidak terkirim  pembayaran sdh terkonfirmasi berhasil  totalnyatidak seberapa  tapi sangat dibutuhkan  tidak bisa cek pesanan  karena telepon driver tidak dapat dihubungi  email error harap segera ditindaklanjuti    
"Aplikasi gak jelas. Beli obat lama banget. Di tungguin sampe 30 menit ga bergerak drivernya. Setelah minta refund ga bisa2. Abis itu malah oto bikin pesanan baru, abis itu tiba2 dalam perjalanan. Ga jelas banget. Ga pernah di tunjukin di mana ngambilnya, dapetnya di toko apa. Udah kyk beli narkoba aja terselubung2 ga jelas",aplikasi gak jelas  beli obat lama banget  di tungguin sampe   menit ga bergerak drivernya  setelah minta refund ga bisa   abis itu malah oto bikin pesanan baru  abis itu tiba  dalam perjalanan  ga jelas banget  ga pernah di tunjukin di mana ngambilnya  dapetnya di toko apa  udah kyk beli narkoba aja terselubung  ga jelas
"Saya pernah download, disuruh sama orang keliling , di pinta ktp dan rek, ternyata akhirnya setiap bulan uang ku terambil senilai 39.000, dan saya punya bukti mutasi nya itu otomatis terambil, aplikasi apaan, punya spg memeras uang kami, pedahal kami tidak di periksa apapun di aplikasi halodoc,dan itu an.SUMO TEKNO. Mohon penjelasan nya di kalo setaun aja udah terambil berapa, bukan hanya saya temen saya juga sama. Aplikasi apaan",saya pernah download  disuruh sama orang keliling   di pinta ktp dan rek  ternyata akhirnya setiap bulan uang ku terambil senilai      dan saya punya bukti mutasi nya itu otomatis terambil  aplikasi apaan  punya spg memeras uang kami  pedahal kami tidak di periksa apapun di aplikasi halodoc dan itu an sumo tekno  mohon penjelasan nya di kalo setaun aja udah terambil berapa  bukan hanya saya temen saya juga sama  aplikasi apaan
"Aplikasi nya berbayar heheheheh...... Gak tau jg apk ini bagus atau ngga soalnya ngga terlalu nyobain, diliat sblm download sih bagus tp pas udh download ternyata berbayar, langsung kecewa sih. Tolong dikembangin lagi biar apk nya gk berbayar atau bisa gratis gitu, kayak apk sblh :"". Kasih bintang 1 dulu, kalo udh ada fitur tanya dokter GRATIS baru kasih bintang 5 :)",aplikasi nya berbayar heheheheh       gak tau jg apk ini bagus atau ngga soalnya ngga terlalu nyobain  diliat sblm download sih bagus tp pas udh download ternyata berbayar  langsung kecewa sih  tolong dikembangin lagi biar apk nya gk berbayar atau bisa gratis gitu  kayak apk sblh     kasih bintang   dulu  kalo udh ada fitur tanya dokter gratis baru kasih bintang     
"Saya sudah bayar dan buat janji untuk saat ini melalui gopay, disaat pembayaran berhasil saya diminta menunggu selama 150detik untuk menghubungkan kedokternya. Tp sudah lebih dari 150detik tdk tersambung2. Saldo gopay sudah habis tp saya malah gabisa konsultasi apa2. Bukannya menguntungkan malah sangat merugikan. Kalo bisa saya tdk kasih bintang saya tdk akan kasih bintang ni aplikasi aneh !!!!!!",saya sudah bayar dan buat janji untuk saat ini melalui gopay  disaat pembayaran berhasil saya diminta menunggu selama  detik untuk menghubungkan kedokternya  tp sudah lebih dari  detik tdk tersambung   saldo gopay sudah habis tp saya malah gabisa konsultasi apa   bukannya menguntungkan malah sangat merugikan  kalo bisa saya tdk kasih bintang saya tdk akan kasih bintang ni aplikasi aneh       
"Sebenarnya saya suka menggunakan aplikasi ini, dokternya responsif, pembayaran mudah. Namun kemarin saya mendapati telpon yang mengatasnamakan admin halodoc mengenai promosi hadiah. Saya tidak mempermasalahkan penipuannya karena saya berhasil menghindar, tapi yang disayangkan adalah adanya kebocoran data pengguna. Hal ini tentu merugikan pengguna.",sebenarnya saya suka menggunakan aplikasi ini  dokternya responsif  pembayaran mudah  namun kemarin saya mendapati telpon yang mengatasnamakan admin halodoc mengenai promosi hadiah  saya tidak mempermasalahkan penipuannya karena saya berhasil menghindar  tapi yang disayangkan adalah adanya kebocoran data pengguna  hal ini tentu merugikan pengguna 
"Baru juga instal aplikasi Halodoc, kirain bisa membantu. Dichat dokter nya gak ada respon sama sma skali, giliran ditungguin lama malah percakapan nya langsung ditutup. Hadeehhhhhh",baru juga instal aplikasi halodoc  kirain bisa membantu  dichat dokter nya gak ada respon sama sma skali  giliran ditungguin lama malah percakapan nya langsung ditutup  hadeehhhhhh
"Ini saya sudah top up saldo halodoc Sesuai tarif dokter nya, sekali nya mau d bayar malah ga bisa2 trs, padahal lagi butuh bgt, keterangan nya sistem sedang gangguan coba metode pembayaran lain, masa saya harus isi saldo trs untuk semua metode pembayaran. Mempersulit aja kl sperti inj",ini saya sudah top up saldo halodoc sesuai tarif dokter nya  sekali nya mau d bayar malah ga bisa  trs  padahal lagi butuh bgt  keterangan nya sistem sedang gangguan coba metode pembayaran lain  masa saya harus isi saldo trs untuk semua metode pembayaran  mempersulit aja kl sperti inj
"Ga bisa daftar. Setelah di download, di buka, apk nya ga bisa di apa apain. Ga bisa log in masukin nomor hp, berulang ulang di hapus instalasi donlod lagi hapus lagi donlod lagi, tetep ga bisa juga.",ga bisa daftar  setelah di download  di buka  apk nya ga bisa di apa apain  ga bisa log in masukin nomor hp  berulang ulang di hapus instalasi donlod lagi hapus lagi donlod lagi  tetep ga bisa juga 
"Halodoc, pembayarannya apa tidak diperluas lagi? Masa iya cuma gopay, bca, mandiri dan debit yang saya gak tau apa maksudnya. Saya jadi ragu mau cobain apknya, mau ke dokter langsung juga jauh dan pandemi gini. Kalau bisa pembayarannya dilakukan dimana aja, indomaret, alfamart, dsb. Kalo di kota akses emang gampang, nah kalo di desa gimana? Susah juga jadinya. Intinya ditingkatkan lagi plissss",halodoc  pembayarannya apa tidak diperluas lagi  masa iya cuma gopay  bca  mandiri dan debit yang saya gak tau apa maksudnya  saya jadi ragu mau cobain apknya  mau ke dokter langsung juga jauh dan pandemi gini  kalau bisa pembayarannya dilakukan dimana aja  indomaret  alfamart  dsb  kalo di kota akses emang gampang  nah kalo di desa gimana  susah juga jadinya  intinya ditingkatkan lagi plissss
"Niatnya mau lebih cepet pake aplikasi tapi malah jadi ribet, pembayaran gagal tapi saldo sudah berkurang, disuruh nunggu 4 sampe 5 hari, Lah butuhnya juga sekarang obatnya. Chat ke csnya juga lama banget balesnya dan banyaknya pake bot jadi gak menyelesaikan permasalahan",niatnya mau lebih cepet pake aplikasi tapi malah jadi ribet  pembayaran gagal tapi saldo sudah berkurang  disuruh nunggu   sampe   hari  lah butuhnya juga sekarang obatnya  chat ke csnya juga lama banget balesnya dan banyaknya pake bot jadi gak menyelesaikan permasalahan
Tolong bantuannya saya tidak bisa melakukan chat dengan dokter. Ketika ingin membayar selalu yang muncul transaksi kedaluwarsa. Saya sampai buat akun baru karna saya pikir akun saya yang lama bermasalah. Tapi masih sama aja tetap tidak bisa digunakan. Tolong feed backnya segera Terima kasih,tolong bantuannya saya tidak bisa melakukan chat dengan dokter  ketika ingin membayar selalu yang muncul transaksi kedaluwarsa  saya sampai buat akun baru karna saya pikir akun saya yang lama bermasalah  tapi masih sama aja tetap tidak bisa digunakan  tolong feed backnya segera terima kasih
"Pengembalian dana saya sengaja diperibet dan tidak diberikan solusi hanya bisa minta maaf, Bagaimana ini katanya pengembalian dana otomatis masuk ke rekening tapi buktinya tidak, sangat kecewa dan sangat buruk sekali sistemnya. Kalo niat melayani ya sungguh"" jangan semua dijadikan bisnis yang hanya pengen untung saja dan merugikan customer.",pengembalian dana saya sengaja diperibet dan tidak diberikan solusi hanya bisa minta maaf  bagaimana ini katanya pengembalian dana otomatis masuk ke rekening tapi buktinya tidak  sangat kecewa dan sangat buruk sekali sistemnya  kalo niat melayani ya sungguh  jangan semua dijadikan bisnis yang hanya pengen untung saja dan merugikan customer 
"Untuk dokter oke, tp untuk ketersediaan obat sering dibatalkan,dan uang refund ga langsung masuk, jd setelah konsultasi sama dokter tp obat ga bisa di beli, tetep cari obat sendiri di luar. Cs ditelp juga susah bgt, di chatt ga dibales bales... Kurang kayanya cs",untuk dokter oke  tp untuk ketersediaan obat sering dibatalkan dan uang refund ga langsung masuk  jd setelah konsultasi sama dokter tp obat ga bisa di beli  tetep cari obat sendiri di luar  cs ditelp juga susah bgt  di chatt ga dibales bales    kurang kayanya cs
"Sudah 15 hari gk di refund dana nya setelah salah kirim obat. Ditelepon berulang2 , email juga berulang2 tp katanya masih proses terus. Dan gk ada estimasi sampe kapan pelanggan harus menunggu. Kayaknya bisa sampai 1 tahun deh. Mohon tingkatkan pelayanan.",sudah   hari gk di refund dana nya setelah salah kirim obat  ditelepon berulang    email juga berulang  tp katanya masih proses terus  dan gk ada estimasi sampe kapan pelanggan harus menunggu  kayaknya bisa sampai   tahun deh  mohon tingkatkan pelayanan 
"aplikasi ini memang enak sih untuk scheduling dengan dokter tanpa antri di rs nya. cuman belakangan service nya mengecewakan 1. hasil tes di infokan melalui sms jika sudah selesai, saat ini tidak ada 2. hasil tes hardcopy. tidak ada lagi softcopy jadi harus ambil di tempat tes lagi 3. media chat dengan cs responnya lambat, and klo kita tidak respon 1 menit mereka memutuskan jalur komunikasi dan harus ulang lagi, sementara mereka merespon nya sangat lambat . 4. cs tidak bisa memberikan konfirmasi konfirmasi ke bagian terkait, artinya tidak ada SLA di sisi halodoc untuk responsif nya",aplikasi ini memang enak sih untuk scheduling dengan dokter tanpa antri di rs nya  cuman belakangan service nya mengecewakan    hasil tes di infokan melalui sms jika sudah selesai  saat ini tidak ada    hasil tes hardcopy  tidak ada lagi softcopy jadi harus ambil di tempat tes lagi    media chat dengan cs responnya lambat  and klo kita tidak respon   menit mereka memutuskan jalur komunikasi dan harus ulang lagi  sementara mereka merespon nya sangat lambat      cs tidak bisa memberikan konfirmasi konfirmasi ke bagian terkait  artinya tidak ada sla di sisi halodoc untuk responsif nya
"tolong perbaiki sistem pembayaranya, cuman melayani kartu kredit + atm bca, gak semua orang punya kartu kredit dan bca, tmbh bank2 lainnya masih banyak, termasuk lewat indomaret dan alfa, dan jenis pembayaran lainnya, biar memudahkan orang bayar",tolong perbaiki sistem pembayaranya  cuman melayani kartu kredit   atm bca  gak semua orang punya kartu kredit dan bca  tmbh bank  lainnya masih banyak  termasuk lewat indomaret dan alfa  dan jenis pembayaran lainnya  biar memudahkan orang bayar
"Berkali kali kirim ulang kode verifikasi sampai restart aplikasi.. Kode otp masih saja tidak saya terima, padahal nomor yg di tuju sudah benar.. Tolong segera di perbaiki. Terimakasih",berkali kali kirim ulang kode verifikasi sampai restart aplikasi   kode otp masih saja tidak saya terima  padahal nomor yg di tuju sudah benar   tolong segera di perbaiki  terimakasih
"Aplikasi Ga Recommended Sama Sekali!! Udah order dan bayar pembayaran melalui gopay baru mau konsultasi sama dokter tiba tiba dibatalin. Mana uangnya ga kembali padahal riwayat pembayaran udah jelas jelas tertera, udah komplen ke aplikasi pihak halodoc di bantuan, ga ada tindak lanjutnya. Tidak ada itikad baik mengembalikan uang, KECEWA parahh ga lagi lagi deh!",aplikasi ga recommended sama sekali   udah order dan bayar pembayaran melalui gopay baru mau konsultasi sama dokter tiba tiba dibatalin  mana uangnya ga kembali padahal riwayat pembayaran udah jelas jelas tertera  udah komplen ke aplikasi pihak halodoc di bantuan  ga ada tindak lanjutnya  tidak ada itikad baik mengembalikan uang  kecewa parahh ga lagi lagi deh 
Proses komplain CS terlalu ribet dan sengaja di buat lama. Saya belum jadi menggunakan layanan yang di pesan dan status sudah di selesaikan gitu aja. Uang saya hangus dan sia2.,proses komplain cs terlalu ribet dan sengaja di buat lama  saya belum jadi menggunakan layanan yang di pesan dan status sudah di selesaikan gitu aja  uang saya hangus dan sia  
Saya belum memulai chat untuk konsul karena saya sedang coba mengatasi aplikasi yang bermasalah tiba tiba.... Ternyata Udah d stop chat ama dokternya.. Padahal belum 30 menit..,saya belum memulai chat untuk konsul karena saya sedang coba mengatasi aplikasi yang bermasalah tiba tiba     ternyata udah d stop chat ama dokternya   padahal belum   menit  
"Aplikasi penghambat rejeki driver, saya gagal dapat bonus gara gara aplikasi ini, customer pesan di halo dok, tapi halo dok mencari apotik yg sudah tutup ,ini aplikasi gimana lah, apotik tutup kok suruh ambil pesanan, customer sudah cancel tapi di aplikasi driver masih juga tidak ter cancel",aplikasi penghambat rejeki driver  saya gagal dapat bonus gara gara aplikasi ini  customer pesan di halo dok  tapi halo dok mencari apotik yg sudah tutup  ini aplikasi gimana lah  apotik tutup kok suruh ambil pesanan  customer sudah cancel tapi di aplikasi driver masih juga tidak ter cancel
"sangat mengecewakan, saya sudah pesan obat sudah menunggu lama malah dibatalkan, untuk pengembalian dana jg tdk bisa dikembalikan ke rekening bank, jd otomatis dana yg sudah ditf ke dompet harus dipakai di apk ini, apk sangat sangat tdk berguna",sangat mengecewakan  saya sudah pesan obat sudah menunggu lama malah dibatalkan  untuk pengembalian dana jg tdk bisa dikembalikan ke rekening bank  jd otomatis dana yg sudah ditf ke dompet harus dipakai di apk ini  apk sangat sangat tdk berguna
"Halodoc tidak menyediakan login via email, nomor lama saya hangus dan saya sangat kerepotan dalam login kembali, selain itu, akun gopay saya hanya bisa digunakam oleh nomor yang hangus itu, jadi saya sangat kerepotan, mohin diperbaiki aplikasinya",halodoc tidak menyediakan login via email  nomor lama saya hangus dan saya sangat kerepotan dalam login kembali  selain itu  akun gopay saya hanya bisa digunakam oleh nomor yang hangus itu  jadi saya sangat kerepotan  mohin diperbaiki aplikasinya
"Kacau aplikasi halodoc, saya udh bayar dan menjadwalkan konsultasi esoknya di chat gak bisa dokternya, chat berkali2 tapi gak muncul chat saya.. Di tlp jg gak bisa.. Aplikasi sampah, hilang duit saya sia2.. Chat bantuan jg cuman bot..saya cek status dokternya jg offline.. Dzolim2..",kacau aplikasi halodoc  saya udh bayar dan menjadwalkan konsultasi esoknya di chat gak bisa dokternya  chat berkali  tapi gak muncul chat saya   di tlp jg gak bisa   aplikasi sampah  hilang duit saya sia    chat bantuan jg cuman bot  saya cek status dokternya jg offline   dzolim   
"Nyobak test swab antigen via aplikasi ini, hasilnya nggak keluar katanya di kirim via aplikasi or email ternyata sampai hari di butuhkan nggak dirim jg. Komplain via chat / email / tlp nggak ada respon. Sangat kecewa saya dengan sindikat ini.",nyobak test swab antigen via aplikasi ini  hasilnya nggak keluar katanya di kirim via aplikasi or email ternyata sampai hari di butuhkan nggak dirim jg  komplain via chat   email   tlp nggak ada respon  sangat kecewa saya dengan sindikat ini 
"Saya kira ini aplikasih bisa tamganin masalah sakit 24 jam rupanya ada jamnya, kemana kalo ada pasien yg tiba tiba sakit parah pada saat malam hari? Tolonglah tingkatkn biar pasien yg sakitnya malam hari bisa diobatin dan ada jalan solusinya buat penyakitnya",saya kira ini aplikasih bisa tamganin masalah sakit   jam rupanya ada jamnya  kemana kalo ada pasien yg tiba tiba sakit parah pada saat malam hari  tolonglah tingkatkn biar pasien yg sakitnya malam hari bisa diobatin dan ada jalan solusinya buat penyakitnya
